frame,timestamp,emotion,ear_avg_raw,mar_raw,smile_coeff_raw,mouth_width_raw,brow_dist_raw,mouth_asymmetry_raw,upper_lip_raise_raw,ear_avg_smooth,mar_smooth,smile_coeff_smooth,mouth_width_smooth,brow_dist_smooth,mouth_asymmetry_smooth,upper_lip_raise_smooth
1,1777817768499,Happy,0.31704,0.00677,0.02189,0.39188,0.13044,0.00528,0.08693,0.31704,0.00677,0.02189,0.39188,0.13044,0.00528,0.08693
2,1777817768566,Happy,0.31792,0.00242,0.01991,0.37828,0.12627,0.00447,0.08458,0.31731,0.00546,0.0213,0.3878,0.12919,0.00504,0.08622
3,1777817768633,Happy,0.32514,0.0021,0.0195,0.37839,0.12353,0.00477,0.08341,0.31966,0.00445,0.02076,0.38498,0.12749,0.00496,0.08538
4,1777817768668,Happy,0.32848,0.00201,0.01935,0.37842,0.12211,0.00462,0.08328,0.32231,0.00372,0.02034,0.38301,0.12588,0.00485,0.08475
5,1777817768734,Happy,0.33301,0.00169,0.01856,0.37654,0.12068,0.00418,0.0833,0.32552,0.00311,0.0198,0.38107,0.12432,0.00465,0.08432
6,1777817768767,Happy,0.33527,0.00154,0.01835,0.37554,0.12043,0.00405,0.0833,0.32844,0.00264,0.01937,0.37941,0.12315,0.00447,0.08401
7,1777817768833,Happy,0.33588,0.0012,0.01814,0.37533,0.12063,0.00391,0.08301,0.33067,0.00221,0.019,0.37819,0.1224,0.0043,0.08371
8,1777817768867,Happy,0.33467,0.00124,0.01784,0.37482,0.12038,0.00394,0.08304,0.33187,0.00192,0.01865,0.37718,0.12179,0.0042,0.08351
9,1777817768901,Happy,0.33442,0.00119,0.01748,0.37385,0.12018,0.00402,0.08315,0.33264,0.0017,0.0183,0.37618,0.12131,0.00414,0.0834
10,1777817768968,Happy,0.33799,0.00113,0.01707,0.37338,0.11992,0.00411,0.08284,0.33424,0.00153,0.01793,0.37534,0.12089,0.00413,0.08324
11,1777817769033,Happy,0.34161,0.00113,0.0161,0.37304,0.11932,0.00484,0.08243,0.33645,0.00141,0.01738,0.37465,0.12042,0.00435,0.08299
12,1777817769067,Happy,0.34248,0.00111,0.01579,0.37284,0.1191,0.00493,0.08228,0.33826,0.00132,0.0169,0.37411,0.12003,0.00452,0.08278
13,1777817769100,Happy,0.34301,0.00111,0.01553,0.37274,0.11899,0.00486,0.08228,0.33969,0.00125,0.01649,0.3737,0.11972,0.00462,0.08263
14,1777817769134,Happy,0.34332,0.00111,0.01527,0.37275,0.11893,0.00477,0.08232,0.34078,0.00121,0.01613,0.37341,0.11948,0.00467,0.08254
15,1777817769200,Happy,0.34437,0.00116,0.01474,0.37271,0.11877,0.00453,0.08229,0.34186,0.0012,0.01571,0.3732,0.11927,0.00463,0.08246
16,1777817769266,Happy,0.34473,0.00118,0.01459,0.37235,0.11876,0.0045,0.08237,0.34272,0.00119,0.01537,0.37295,0.11911,0.00459,0.08243
17,1777817769300,Happy,0.34487,0.00122,0.01441,0.37181,0.11876,0.00452,0.08236,0.34336,0.0012,0.01508,0.37261,0.11901,0.00457,0.08241
18,1777817769334,Happy,0.34467,0.00122,0.01418,0.37172,0.11882,0.00463,0.08237,0.34376,0.00121,0.01481,0.37234,0.11895,0.00459,0.0824
19,1777817769399,Happy,0.33797,0.00118,0.01381,0.3714,0.11946,0.00465,0.08236,0.34202,0.0012,0.01451,0.37206,0.1191,0.0046,0.08239
20,1777817769433,Happy,0.3347,0.00118,0.01371,0.37065,0.11996,0.00467,0.08238,0.33982,0.00119,0.01427,0.37164,0.11936,0.00462,0.08238
21,1777817769466,Happy,0.33302,0.00116,0.01345,0.37017,0.12021,0.00481,0.08245,0.33778,0.00118,0.01403,0.3712,0.11962,0.00468,0.0824
22,1777817769533,Happy,0.33185,0.00123,0.01306,0.36851,0.12071,0.00435,0.08256,0.336,0.0012,0.01373,0.37039,0.11994,0.00458,0.08245
23,1777817769600,Happy,0.33144,0.00125,0.01235,0.3681,0.121,0.00427,0.08298,0.33464,0.00121,0.01332,0.3697,0.12026,0.00449,0.08261
24,1777817769667,Happy,0.32912,0.00137,0.01251,0.3678,0.12198,0.00441,0.08333,0.33298,0.00126,0.01308,0.36913,0.12078,0.00446,0.08283
25,1777817769700,Happy,0.32989,0.00147,0.01248,0.36767,0.12214,0.00398,0.08344,0.33205,0.00132,0.0129,0.36869,0.12119,0.00432,0.08301
26,1777817769734,Happy,0.33182,0.0016,0.01251,0.36753,0.12171,0.00383,0.08359,0.33198,0.00141,0.01278,0.36834,0.12135,0.00417,0.08319
27,1777817769767,Happy,0.33517,0.00169,0.01194,0.36712,0.12131,0.00339,0.08324,0.33294,0.00149,0.01253,0.36798,0.12133,0.00394,0.0832
28,1777817769835,Happy,0.335,0.00181,0.01155,0.36651,0.12076,0.0024,0.08315,0.33356,0.00159,0.01224,0.36754,0.12116,0.00348,0.08318
29,1777817769868,Happy,0.33264,0.00185,0.01152,0.36687,0.12072,0.00277,0.08312,0.33328,0.00167,0.01202,0.36734,0.12103,0.00326,0.08317
30,1777817769901,Happy,0.3348,0.00196,0.01121,0.36638,0.11978,0.00351,0.08285,0.33374,0.00175,0.01178,0.36705,0.12065,0.00334,0.08307
31,1777817769934,Happy,0.33486,0.00203,0.01142,0.36577,0.11982,0.00367,0.08269,0.33407,0.00184,0.01167,0.36667,0.1204,0.00344,0.08296
32,1777817769967,Happy,0.33484,0.0021,0.01094,0.36481,0.11974,0.00315,0.08228,0.3343,0.00192,0.01145,0.36611,0.12021,0.00335,0.08275
33,1777817770000,Happy,0.33303,0.00223,0.0112,0.3648,0.12018,0.0032,0.08246,0.33392,0.00201,0.01138,0.36572,0.1202,0.00331,0.08267
34,1777817770033,Happy,0.33432,0.00233,0.01104,0.36492,0.11978,0.00364,0.08236,0.33404,0.00211,0.01128,0.36548,0.12007,0.00341,0.08257
35,1777817770067,Happy,0.33406,0.00233,0.01105,0.36497,0.11992,0.00384,0.0826,0.33405,0.00217,0.01121,0.36532,0.12003,0.00354,0.08258
36,1777817770100,Happy,0.3355,0.00232,0.011,0.36463,0.11977,0.0039,0.08285,0.33448,0.00222,0.01115,0.36512,0.11995,0.00364,0.08266
37,1777817770134,Happy,0.33422,0.0023,0.01049,0.36427,0.11985,0.00347,0.08265,0.3344,0.00224,0.01095,0.36486,0.11992,0.00359,0.08266
38,1777817770201,Happy,0.33577,0.00233,0.01085,0.36225,0.11899,0.00295,0.08347,0.33481,0.00227,0.01092,0.36408,0.11964,0.0034,0.0829
39,1777817770266,Happy,0.33659,0.00215,0.01096,0.36266,0.11923,0.00392,0.08351,0.33535,0.00223,0.01093,0.36365,0.11952,0.00356,0.08308
40,1777817770301,Happy,0.33412,0.00206,0.01109,0.36327,0.12026,0.00445,0.08372,0.33498,0.00218,0.01098,0.36354,0.11974,0.00382,0.08327
41,1777817770334,Happy,0.33397,0.00205,0.01092,0.36381,0.12042,0.00396,0.08338,0.33468,0.00214,0.01096,0.36362,0.11994,0.00386,0.08331
42,1777817770368,Happy,0.33325,0.00228,0.01171,0.36455,0.12111,0.00417,0.08295,0.33425,0.00218,0.01119,0.3639,0.12029,0.00396,0.0832
43,1777817770434,Happy,0.33229,0.00274,0.02213,0.38405,0.12007,0.00854,0.0805,0.33366,0.00235,0.01447,0.36995,0.12022,0.00533,0.08239
44,1777817770467,Happy,0.32993,0.00288,0.03032,0.39981,0.12,0.00866,0.0776,0.33254,0.00251,0.01922,0.3789,0.12016,0.00633,0.08095
45,1777817770500,Happy,0.32898,0.01258,0.03098,0.40586,0.11924,0.0106,0.07272,0.33147,0.00553,0.02275,0.38699,0.11988,0.00761,0.07848
